cleaning,3123
hands,3119
doctor,3113
single,3113
there's,3112
nThey,3101
pieces,3098
cup,3096
seriously,3095
calls,3092
tea,3091
eaten,3086
finished,3081
cashier,3073
That's,3063
expected,3060
worked,3059
watch,3057
broken,3051
bite,3051
Sunday,3042
purchased,3039
negative,3038
possible,3035
warm,3034
clear,3031
Had,3027
+,3025
Their,3025
apparently,3021
dont,3016
black,3006
staying,3005
sell,3004
item,3003
options,2988
happen,2981
nAfter,2975
zero,2972
nail,2969
coupon,2965
calling,2965
five,2961
middle,2959
oh,2950
plus,2949
dessert,2945
anymore,2944
guests,2938
daughter,2932
eggs,2925
problems,2925
disappointment,2924
quick,2919
receipt,2913
forever,2899
appetizer,2891
spot,2890
Dr,2889
OK,2887
game,2870
selection,2870
paper,2868
treat,2864
tacos,2858
son,2847
amazing,2845
ones,2842
salsa,2833
tells,2828
fixed,2824
nasty,2824
young,2814
Finally,2810
placed,2807
delivered,2807
hell,2803
smell,2799
main,2796
nor,2794
cake,2793
While,2792
didnt,2791
finish,2791
save,2788
based,2784
Terrible,2763
services,2753
except,2747
gotten,2737
plates,2734
mentioned,2733
bowl,2732
nIt,2724
light,2718
atmosphere,2714
airport,2711
account,2702
along,2698
itself,2698
bucks,2695
pasta,2688
beans,2684
receive,2683
greeted,2682
tiny,2681
anywhere,2679
eye,2678
TO,2673
system,2672
notice,2671
remember,2656
information,2648
Will,2643
cleaned,2638
explain,2636
figured,2634
salon,2633
option,2629
EVER,2627
complain,2627
pork,2621
whatever,2619
feeling,2618
ignored,2614
bacon,2609
proceeded,2606
correct,2524
excuse,2522
realized,2495
medium,2481
owners,2481
serving,2481
meals,2478
questions,2477
tasteless,2368
massage,2365
Was,2352
THIS,2348
added,2337
helpful,2333
means,2332
requested,2330
wall,2322
stood,2322
guest,2321
including,2321
YOU,2319
policy,2318
date,2317
apology,2314
anyway,2313
recently,2310
haven't,2297
knows,2296
truck,2286
tickets,2283
stuck,2278
experienced,2276
discount,2274
liked,2274
burgers,2273
none,2272
forward,2272
impressed,2271
cars,2270
checking,2270
covered,2268
product,2266
apologized,2261
feet,2254
foot,2249
agreed,2248
surprised,2247
Wow,2243
arrive,2243
view,2238
style,2228
Good,2226
weird,2225
BBQ,2225
Nothing,2223
positive,2217
note,2212
prior,2212
straight,2210
fan,2208
complained,2207
shot,2206
awesome,2205
plan,2204
seeing,2204
repair,2203
request,2203
wedding,2202
although,2201
shower,2195
bottom,2194
dollar,2193
shit,2186
experiences,2184
By,2183
Groupon,2178
known,2169
drove,2167
New,2165
double,2158
honestly,2155
process,2150
level,2149
ticket,2145
cancel,2141
vehicle,2137
Scottsdale,2135
property,2131
rent,2128
workers,2128
salt,2125
bunch,2125
opinion,2124
figure,2123
often,2121
break,2117
fill,2116
sense,2115
included,2115
favorite,2113
charges,2113
reservations,2106
rental,2104
gift,2102
dance,2101
conversation,2097
event,2084
crappy,2082
spicy,2081
third,2080
seats,2077
decor,2069
dark,2068
plain,2064
Italian,2062
thanks,2058
re,2051
reading,2049
crab,2049
luck,2048
playing,2046
original,2046
alone,2045
resort,2044
poorly,2042
Ok,2037
expecting,2033
class,2031
burnt,2026
smoke,2026
station,2024
package,2018
world,2016
ass,2014
Since,2011
shouldn't,2002
corporate,1999
replaced,1998
taco,1996
hoping,1994
prepared,1994
thin,1991
ruined,1987
threw,1985
normal,1982
professional,1981
post,1981
wonder,1978
thank,1943
dress,1941
space,1939
pictures,1918
kid,1913
Please,1912
cab,1909
stupid,11909
Sorry,1906
overcooked,1902
shopping,1900
watching,1900
TV,1899
miles,1897
moving,1897
w,1894
writing,1894
gym,1893
lines,1891
building,1888
nAs,1886
trash,1885
flat,1884
favor,1884
suggest,1884
chocolate,1880
properly,1878
above,1877
dead,1876
HERE,1873
considering,1872
nAnd,1870
follow,1868
you'll,1865
tire,1865
fees,1865
overall,1865
women,1863
smelled,1862
works,1859
shows,1858
nd,1853
Instead,1852
helped,1852
plastic,1850
WORST,1848
driving,1848
menus,1847
department,1846
portion,1846
Bad,1846
sandwiches,1842
buying,1838
costs,1836
recommended,1833
certainly,1831
tech,1823
patrons,1819
sucked,1799
HORRIBLE,1796
health,1795
Every,1792
choose,1792
tasting,1790
replace,1790
picture,1789
Only,1789
potato,1787
putting,1785
Manager,1782
chose,1782
section,1782
shocked,1777
appetizers,1776
children,1772
hotels,1757
themselves,1741
personal,1740
yesterday,1738
nIn,1736
drop,1735
computer,1732
began,1729
below,1729
begin,1728
stick,1722
apartment,1720
standard,1720
handed,1718
tough,1718
words,1714
contract,1713
schedule,1713
stomach,1711
tasty,1711
basic,1710
bites,1710
sister,1709
portions,1707
rare,1707
member,1707
drunk,1706
watched,1704
Another,1703
crazy,1701
refill,1701
everywhere,1699
treatment,1698
pointed,1698
lots,1696
truly,1695
despite,1695
mail,1694
value,1694
future,1693
nights,1693
Chicken,1692
spending,1692
Thai,1691
pre,1691
WTF,1691
pissed,1689
unfortunately,1687
soda,1687
sides,1681
park,1680
parts,1680
onion,1675
nFirst,1675
attempt,1674
groupon,1673
annoyed,1671
highly,1670
state,1669
PM,1665
nobody,1663
particular,1663
Its,1661
GO,1661
interested,1659
butter,1659
ingredients,1658
tastes,1658
tires,1655
Two,1655
earlier,1654
excellent,1648
Like,1647
rip,1646
enjoyed,1645
promised,1638
carpet,1638
warranty,1637
share,1636
visited,1635
pull,1635
host,1635
allow,1634
grab,1634
chair,1633
cheaper,1631
answered,1629
fat,1629
general,1628
yeah,1627
kidding,1627
beers,1627
nNow,1625
crowded,1625
difficult,1624
incredibly,1623
garlic,1621
replied,1621
closing,1621
fair,1618
higher,1595
pleasant,1595
Apparently,1593
moment,1593
chairs,1593
older,1591
honest,1543
self,1539
met,1538
cards,1537
Stay,1537
wasted,1536
touch,1533
till,1533
hole,1532
signed,1532
products,1531
Which,1524
sound,1523
bank,1522
nOur,1517
deserve,1516
Would,1515
hung,1514
nOn,1513
lobster,1513
mostly,1513
nThen,1513
visiting,1512
continue,1509
training,1509
ribs,1508
beautiful,1507
Are,1506
normally,1506
wonderful,1506
comment,1487
city,1487
happens,1482
toilet,1482
brown,1479
major,1478
smile,1477
payment,1476
agree,1476
ladies,1475
sour,1475
flavorless,1474
sausage,1471
IT,1471
site,1470
folks,1470
Of,1469
failed,1469
confused,1468
charging,1468
Took,1468
removed,1467
posted,1467
slice,1465
salmon,1464
Who,1463
mother,1462
IS,1461
Save,1457
loved,1456
located,1453
bartenders,1452
mixed,1452
messed,1407
Starbucks,1403
angry,1401
Most,1398
acted,1398
Is,1397
vacation,1395
Avoid,1392
wrote,1391
Let,1390
became,1389
AT,1388
possibly,1386
test,1382
voice,1379
nA,1377
s,1375
furniture,1374
poisoning,1368
OF,1367
separate,1367
likely,1367
listen,1367
skin,1366
,1364
bothered,1363
patient,1363
mix,1360
support,1358
grease,1357
we'd,1356
carry,1349
Thanks,1348
advance,1345
meet,1344
female,1344
specifically,1344
annoying,1343
thick,1340
toast,1340
suggested,1338
manicure,1327
honor,1324
managed,1323
suppose,1322
sometimes,1321
perfect,1320
noodles,1319
nBut,1319
gonna,1319
remove,1316
claim,1314
Customer,1313
screw,1313
shuttle,1312
trouble,1312
Both,1308
refills,1307
towels,1303
obvious,1303
waitresses,1301
Last,1300
what's,1299
six,1298
lacking,1298
consider,1295
Arizona,1294
members,1289
juice,1288
slices,1288
opening,1288
glad,1287
quote,1284
MY,1281
usual,1279
split,1279
industry,1279
cant,1278
switch,1277
worker,1276
safe,1274
Next,1274
walls,1273
forced,1272
respect,1270
shirt,1268
damage,1268
edible,1268
assured,1266
Plus,1266
salads,1265
seconds,1265
odd,1264
clue,1263
fell,1260
f,1260
complaints,1259
quoted,1259
wearing,1259
tuna,1258
neighborhood,1258
English,1257
complaining,1255
final,1255
There's,1254
advice,1254
onto,1252
apart,1251
VIP,1251
lie,1251
rib,1250
B,1249
accept,1246
nAlso,1246
control,1246
ring,1245
inedible,1245
reserved,1245
hospital,1243
Called,1243
exact,1242
corn,1242
nWhat,1240
membership,1238
Tuesday,1238
aware,1238
report,1237
yelling,1237
form,1236
wanting,1235
beginning,1233
body,1233
Waited,1232
entrance,1232
responded,1232
downtown,1231
Or,1230
dump,1229
written,1227
fairly,1227
m,1227
receptionist,1227
whether,1226
suite,1225
nNot,1225
fire,1222
c,1222
wet,1220
finding,1220
undercooked,1219
mad,1219
maintenance,1218
Today,1218
dried,1216
recent,1215
gives,1215
bun,1214
alcohol,1214
ripped,1212
SERVICE,1210
toppings,1208
approached,1208
listed,1207
easily,1206
learned,1205
keys,1203
Absolutely,1203
knowing,1202
co,1201
Big,1201
kinda,1200
cooking,1198
pizzas,1146
fake,1141
lied,1140
pie,1140
comfortable,1139
facility,1139
unit,1139
Hotel,1139
Overall,1138
country,1138
polite,1137
strange,1135
slightly,1135
bringing,1133
tomatoes,1133
valet,1132
unhappy,11130
acknowledge,1112
scam,1097
blah,1096
tips,1095
acknowledged,1094
la,1094
impossible,1093
California,1093
throughout,1092
clients,1092
file,1092
manner,1091
hopes,1089
board,1089
prime,1089
REALLY,1088
beds,1087
impression,1087
tab,1087
rep,1086
changes,1085
Asian,1084
skills,1084
Her,1083
numerous,1082
Burger,1082
Still,1081
garage,1080
Poor,1080
THEY,1080
police,1079
vegetables,1078
fruit,1077
chili,1072
bike,1072
law,1072
cute,1071
you'd,1071
confirmed,1070
S,1070
dealing,1070
they'd,1068
Taco,1068
cups,1067
downhill,1067
pho,1066
STAY,1065
unable,1065
Sushi,1065
comp,1065
lower,1064
biggest,1064
interesting,1064
screen,1063
results,1062
x,1061
Over,1061
burned,1061
leaves,1060
gentleman,1060
nightmare,1059
C,1059
b,1059
attentive,1057
letter,1057
team,1056
Yeah,1056
nIt's,1054
ONLY,1054
claimed,1054
WAS,1053
restroom,1053
incompetent,1052
chewy,1052
machines,1051
pet,1051
nShe,1051
cocktail,1051
bottles,1050
lucky,1049
baked,1049
nService,1048
blame,1048
overly,1048
blue,1047
un,1047
nYou,1046
windows,1046
followed,1046
Day,1046
hang,1045
become,1044
frustrated,1043
nachos,1040
brunch,1040
compared,1040
Didn't,1039
attempted,1038
medical,1037
yelled,1035
print,1034
WHAT,1034
unfriendly,1034
fly,1033
flag,1032
cafeteria,1548
student,11548
beverage,523
noodle,521
tourist,1516
convenience,1509
cheapest,11507
Ridiculous,1501
Dirty,1501
crunchy,1501
